material_id,formula_pretty,energy_above_hull,is_stable,theoretical,has_icsd,nsites,nelements,crystal_system,space_group,chemsys,elements,synth_class,synthesizable,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-13820,Cd3SiO5,0.0,True,False,True,18,3,Tetragonal,P4/nmm,Cd-O-Si,"['Cd', 'O', 'Si']",0,1,1.2730283365896256,4,0.4444444444444444,0.25,"{""S:5"": 4, ""O:6"": 4, ""T:4"": 2, ""A:2"": 8}",18
mp-510280,CeAgSb2,0.0,True,False,True,8,3,Tetragonal,P4/nmm,Ag-Ce-Sb,"['Ag', 'Ce', 'Sb']",0,1,1.039720770839918,3,0.5,0.1666666666666667,"{""C:12"": 4, ""BO_2:8"": 2, ""SBT:8"": 2}",8
mp-15826,Lu2Co3Si5,0.0,True,False,True,20,3,Monoclinic,C2/c,Co-Lu-Si,"['Co', 'Lu', 'Si']",0,1,1.8866967846580789,7,0.2,0.1714285714285717,"{""UNKNOWN:15"": 4, ""BO_2:8"": 2, ""ST:7"": 4, ""DI:11"": 2, ""SBSA:10"": 2, ""TI:9"": 2, ""TT_1:9"": 4}",20
mp-16594,K3TbSi2O7,0.0,True,False,True,78,4,Hexagonal,P6_3/mcm,K-O-Si-Tb,"['K', 'O', 'Si', 'Tb']",0,1,1.9164084196731053,9,0.3076923076923077,0.4045584045584045,"{""I:12"": 2, ""BS_2:10"": 12, ""SMA:9"": 4, ""T:6"": 2, ""O:6"": 4, ""T:4"": 12, ""A:2"": 6, ""S:1"": 12, ""L:2"": 24}",78
mp-510598,YMn2O5,0.0,True,False,True,32,3,Orthorhombic,Pbam,Mn-O-Y,"['Mn', 'O', 'Y']",0,1,1.6674619334292946,6,0.375,0.2083333333333332,"{""SBT:8"": 4, ""S:5"": 4, ""O:6"": 4, ""SS:4"": 4, ""T:4"": 12, ""TL:3"": 4}",32
mp-639789,Fe2Re3,0.0,True,False,True,20,2,Cubic,P4_132,Fe-Re,"['Fe', 'Re']",0,1,0.6730116670092565,2,0.6,0.1,"{""I:12"": 8, ""PBP:12"": 12}",20
mp-864831,NbZnRh2,0.0,True,True,False,4,3,Cubic,Fm-3m,Nb-Rh-Zn,"['Nb', 'Rh', 'Zn']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-20865,YCuPb,0.0,True,False,True,6,3,Hexagonal,P6_3mc,Cu-Pb-Y,"['Cu', 'Pb', 'Y']",0,1,0.6365141682948128,2,0.6666666666666666,0.1666666666666665,"{""UNKNOWN:14"": 2, ""SBSA:10"": 4}",6
mp-16490,Lu2Al3Co,0.0,True,False,True,12,3,Hexagonal,P6_3/mmc,Al-Co-Lu,"['Al', 'Co', 'Lu']",0,1,0.6365141682948128,2,0.6666666666666666,0.1666666666666665,"{""UNKNOWN:16"": 4, ""I:12"": 8}",12
mp-3273,Si5P6O25,0.0,True,False,True,36,3,Trigonal,R-3,O-P-Si,"['O', 'P', 'Si']",0,1,1.2063124972071886,4,0.5,0.3194444444444444,"{""O:6"": 3, ""T:4"": 8, ""L:2"": 7, ""A:2"": 18}",36
mp-1298,KAu5,0.0,True,False,True,6,2,Hexagonal,P6/mmm,Au-K,"['Au', 'K']",0,1,1.0114042647073518,3,0.5,0.2222222222222221,"{""UNKNOWN:18"": 1, ""AC:12"": 2, ""I:12"": 3}",6
mp-2848,Pu5Ir3,0.0,True,False,True,16,2,Tetragonal,I4/mcm,Ir-Pu,"['Ir', 'Pu']",0,1,0.9743147528693494,3,0.5,0.25,"{""UNKNOWN:14"": 2, ""SH:13"": 8, ""SBSA:10"": 6}",16
mp-1226984,La10Ga3Co7,0.0,True,True,False,40,3,Orthorhombic,Pmc2_1,Co-Ga-La,"['Co', 'Ga', 'La']",0,0,1.634245216284492,7,0.45,0.4000000000000001,"{""AC:12"": 6, ""C:12"": 2, ""BO_2:8"": 4, ""HA:12"": 4, ""DI:11"": 4, ""TT_1:9"": 18, ""SBT:8"": 2}",40
mp-18352,HfTe3O8,0.0,True,False,True,48,3,Cubic,Ia-3,Hf-O-Te,"['Hf', 'O', 'Te']",0,1,1.1988493129136213,4,0.5,0.3333333333333332,"{""O:6"": 4, ""SS:4"": 12, ""TC:9"": 8, ""TS:3"": 24}",48
mp-1186482,Pm2NiPt,0.0,True,True,False,4,3,Cubic,Fm-3m,Ni-Pm-Pt,"['Ni', 'Pm', 'Pt']",0,0,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-560441,BaZn2Si2O7,0.0,True,True,False,24,4,Orthorhombic,Cmcm,Ba-O-Si-Zn,"['Ba', 'O', 'Si', 'Zn']",0,0,1.236684869140504,4,0.4166666666666667,0.2916666666666665,"{""ET:7"": 2, ""T:4"": 8, ""TY:3"": 4, ""A:2"": 10}",24
