material_id,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-1203225,1.200684562341244,4,0.5294117647058824,0.3088235294117647,"{""O:6"": 4, ""TY:3"": 6, ""A:2"": 18, ""SY:4"": 6}",34
mp-1178250,1.8090102842668667,7,0.29411764705882354,0.2857142857142858,"{""O:6"": 5, ""TL:3"": 2, ""PP:6"": 1, ""S:5"": 2, ""TS:3"": 3, ""A:2"": 3, ""TO_2:9"": 1}",17
mp-15626,0.9502705392332347,3,0.6,0.2666666666666666,"{""C:12"": 2, ""O:6"": 2, ""L:2"": 6}",10
mp-1274911,1.5229550675313184,5,0.3333333333333333,0.2222222222222221,"{""C:8"": 2, ""C:12"": 2, ""S:5"": 4, ""L:2"": 6, ""T:4"": 4}",18
mp-1103934,1.6094379124341005,5,0.2,0.0,"{""UNKNOWN:16"": 3, ""TT_1:9"": 3, ""SMA:9"": 3, ""C:12"": 3, ""BS_2:10"": 3}",15
mp-1190207,1.8891591637540215,7,0.2222222222222222,0.15873015873015883,"{""DI:11"": 2, ""SS:9"": 2, ""PCPA:11"": 2, ""PBP:12"": 4, ""C:12"": 2, ""TT_1:9"": 4, ""SMA:9"": 2}",18
mp-1524481,1.0888999753452238,3,0.4,0.06666666666666687,"{""L:2"": 3, ""S:1"": 4, ""A:2"": 3}",10
mp-1568809,1.8462202193216335,7,0.2727272727272727,0.23376623376623384,"{""O:6"": 6, ""TL:3"": 4, ""SS:4"": 2, ""TY:3"": 4, ""ST:7"": 2, ""ET:7"": 2, ""PP:5"": 2}",22
mp-1094356,-0.0,1,1.0,0.0,"{""AC:12"": 6}",6
mp-19836,0.9502705392332347,3,0.6,0.2666666666666666,"{""L:2"": 3, ""O:6"": 1, ""C:12"": 1}",5
mp-768149,1.3321790402101223,4,0.4,0.15000000000000013,"{""FO:7"": 6, ""T:5"": 6, ""TI:9"": 6, ""T:4"": 12}",30
mp-985626,-0.0,1,1.0,0.0,"{""O:6"": 12}",12
mp-759143,0.6890092384766586,2,0.5454545454545454,0.045454545454545414,"{""O:6"": 15, ""S:5"": 18}",33
mp-865446,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1517169,0.9502705392332347,3,0.6,0.2666666666666666,"{""C:12"": 2, ""O:6"": 2, ""L:2"": 6}",10
mp-13270,0.6365141682948128,2,0.6666666666666666,0.16666666666666652,"{""UNKNOWN:14"": 2, ""SBSA:10"": 4}",6
mp-1208565,0.8222653373287878,4,0.75,0.53125,"{""T:4"": 2, ""TT:12"": 2, ""UNKNOWN:14"": 4, ""TL:3"": 24}",32
mp-1096394,-0.0,1,1.0,0.0,"{""L:2"": 4}",4
mp-867932,1.0549201679861442,3,0.4,0.13333333333333353,"{""PP:10"": 4, ""C:12"": 2, ""TT_1:9"": 4}",10
mp-2217336,1.4681399390162084,5,0.36363636363636365,0.290909090909091,"{""ST:7"": 2, ""T:4"": 4, ""S:4"": 3, ""T:5"": 1, ""SS:4"": 1}",11
mp-19959,1.0986122886681096,3,0.3333333333333333,0.0,"{""SH:13"": 2, ""C:12"": 2, ""TT_1:9"": 2}",6
mp-976333,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1217127,0.6730116670092565,2,0.6,0.10000000000000009,"{""O:6"": 4, ""SS:4"": 6}",10
mp-505558,1.2650013752730702,4,0.4166666666666667,0.25,"{""TT_2:9"": 6, ""T:5"": 2, ""T:4"": 10, ""SS:4"": 6}",24
mp-626750,0.8222653373287878,4,0.75,0.53125,"{""TO_1:9"": 1, ""SC:12"": 1, ""S:1"": 12, ""A:2"": 2}",16
mp-1219945,1.1489202519374866,4,0.4827586206896552,0.35344827586206895,"{""UNKNOWN:16"": 6, ""I:12"": 14, ""C:8"": 1, ""SH:13"": 8}",29
mp-1211983,1.8866967846580787,7,0.2,0.1714285714285717,"{""C:12"": 4, ""DDPN:8"": 4, ""O:6"": 8, ""UNKNOWN:14"": 4, ""S:1"": 8, ""SBT:8"": 8, ""T:5"": 4}",40
mp-21445,1.4451858789480823,5,0.3333333333333333,0.2999999999999998,"{""C:12"": 1, ""TT_1:9"": 2, ""O:6"": 4, ""SS:4"": 4, ""L:2"": 1}",12
mp-10398,1.2424533248940002,4,0.5,0.25,"{""DD:20"": 2, ""C:8"": 6, ""AC:12"": 2, ""T:6"": 2}",12
mp-1216981,1.3321790402101223,4,0.4,0.15000000000000013,"{""S:5"": 2, ""SBT:8"": 2, ""BO_2:8"": 4, ""S:1"": 2}",10
mp-1076222,1.5169381087877005,5,0.3,0.2300000000000002,"{""C:12"": 8, ""O:6"": 11, ""L:2"": 12, ""TS:3"": 6, ""S:5"": 3}",40
