formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
BaU2O7,1.722699999999999,-3.638299954999999,0.007425858250007001,7.841887287820436,307.2022877797094
BaUO3,0.0,-3.486460204999997,0.0,8.171612091758092,344.11620657799807
BaUO4,2.1144,-3.6680901462499973,0.0,7.447472308714998,391.8449842635073
BaV10O15,0.8558000000000001,-2.52134808423077,0.0,5.324515712460244,553.0849630878657
BaV13O18,0.0,-2.404032934375001,0.040585461132812,4.79047618251769,376.98313448338297
BaV2O6,2.878,-2.693702212592591,0.0,3.881340677731001,430.2301978550438
BaV3O8,1.9088999999999992,-2.63487402,0.016019683611110003,4.271344991062743,325.11957351733884
BaWO4,4.8822,-2.729128477500001,0.0,6.254184565542669,204.5289385590323
BaY2NiO5,2.300299999999999,-3.095363232777777,0.009873316666663001,5.934416152996914,126.9882210281706
BaY2Si3O10,4.8161000000000005,-3.588372896250001,0.0,4.266802099173994,435.4022513553854
BaY2ZnO5,3.0989,-3.226324356388889,0.021570728101845002,5.9298583446920645,515.8655885600521
BaYMn2O5,0.0,-2.786945273429118,0.0058047095138990005,5.611457428877989,123.13381647670684
BaZn2Si2O7,3.3014,-2.856035180833333,0.0,4.125787687095038,351.21186259038654
BaZnGeO4,2.8955,-2.426658605238095,0.040736153333329,4.859680118422885,695.7780437065912
BaZnP2O7,4.3419,-2.8378817703896093,0.0,4.104586857499493,304.77646340442004
BaZnSiO4,3.5863,-2.942027309761905,0.010555787738097,4.493110531875051,653.7457242462507
Be12V,0.0,-0.10248673076923001,0.0,2.444798580369198,108.05442886711029
Be2GeO4,4.2042,-2.6953194983333333,0.002021958809526,3.881966289075015,396.94662067806524
Bi26Mo10O69,2.032699999999999,-1.808097827666667,0.025830020011904,7.082943643411287,1757.5758424227056
Bi2Mo2O9,2.88,-1.8867083211538471,0.0,6.223634397540799,1609.0574111881147
Bi2MoO6,2.129299999999999,-1.857507857499999,0.0,8.135038654785008,497.9733570727421
Bi2Ru2O7,0.0,-1.553611266818189,0.0,8.949321979397997,271.6798004639027
Bi2S3,1.361799999999999,-0.414615469187504,0.0,6.602026285137526,517.2810621133061
Bi2Te3,0.3388,-0.274401004000003,0.0,7.315389164356592,181.7667606640336
Bi2TeO5,2.4275,-1.644739106145836,0.0,7.854367725983495,529.0117303166012
Bi2TeO6,1.259299999999999,-1.616918000740741,0.0,8.869172361514133,240.23229014722577
Bi2W2O9,2.020299999999999,-2.028216003653846,0.00043149028846600003,8.766842534627676,704.3338092577603
Bi2WO6,1.913999999999999,-1.956552777222222,0.0,9.341150935963606,496.17847698103304
Bi3SbO7,2.168599999999999,-1.7795944595454571,0.0,8.752918572910259,326.5701562513721
Bi6Mo2O15,2.6683,-1.821042355869566,0.000582877989081,7.612066977077191,1470.9588792549532
BiPO4,3.7758000000000003,-2.414275679107143,0.0,6.867906491739534,293.9607729196479
BiSbO4,2.4246,-1.8414490133333272,0.0,8.368756310551321,156.6488127381902
BiSbTe3,0.21329999999999902,-0.431696751999999,0.004540644000003,6.74731363324774,175.60495542387753
Ca12Al14O33,2.1738,-3.43658640059322,0.00634261644066,2.611766291946113,881.6253418378175
Ca2Al2O5,3.5662000000000003,-3.411476938333332,0.022759404127088,3.397662774342337,209.28981749612427
Ca2Al2SiO7,4.3406,-3.464139528749999,0.00020744736111300002,2.9548722016343323,308.1828298125512
Ca2Al3O6F,4.4961,-3.544253495833333,0.013003448666667,2.932849376218852,625.2857484960517
Ca2AlF7,7.1413,-4.076032328999999,0.003628121500003,3.117675666323702,511.5852269921065
Ca2AlFeO5,0.698199999999999,-2.921796394444445,0.023416900813490002,3.606506716311784,223.74948833721336
